,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
213,1734769,1.0,False,Geuzenveld - Slotermeer,52.38,4.836,Entire home/apt,4,2,4,10,245.0,5,30,True,0,0,4.85,False,61.25,1225.0,0.08,0.25,0.21,4.99,0.07945205479452055,1855.13698630137
214,1766570,0.83,False,Centrum-Oost,52.38,4.887,Entire home/apt,4,2,2,18,332.0,7,180,True,5,0,4.5,False,83.0,2324.0,0.09,0.25,0.25,4.99,0.1178082191780822,1595.4109589041095
215,1771760,1.0,False,Bos en Lommer,52.38,4.85,Private room,2,1,1,5,82.0,4,21,True,0,1,4.8,False,41.0,328.0,0.06,0.07,0.16,4.99,0.0,355.1095890410959
216,1792271,0.52,False,Westerpark,52.38,4.87,Entire home/apt,2,1,1,7,150.0,4,4,True,0,1,4.97,False,75.0,600.0,0.07,0.2,0.21,4.99,0.0,750.6849315068494
217,1798944,1.0,True,Centrum-West,52.38,4.887,Private room,2,1,1,3,60.0,3,30,True,6,5,4.31,False,30.0,180.0,0.07,0.14,0.17,2.99,0.6931506849315069,301.986301369863
218,1798945,0.0,False,Centrum-Oost,52.38,4.9,Entire home/apt,4,2,1,15,365.0,5,1125,True,0,0,4.81,False,91.25,1825.0,0.1,0.18,0.26,4.99,0.0,1853.9315068493152
219,1812581,0.5,False,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,4,2,3,13,400.0,4,365,True,0,0,4.32,True,100.0,1600.0,0.05,0.23,0.28,10.99,0.5917808219178082,2000.0
220,1828391,1.0,False,Noord-West,52.4,4.906,Entire home/apt,5,3,5,5,200.0,3,1125,True,0,0,4.9,False,40.0,600.0,0.1,0.15,0.2,4.99,0.0,1000.0
221,1831427,0.5,False,Centrum-Oost,52.38,4.926,Entire home/apt,2,1,1,5,120.0,4,21,True,2,0,3.83,False,60.0,480.0,0.08,0.13,0.2,4.99,0.4301369863013699,600.0
222,1838751,0.99,False,Centrum-West,52.38,4.88,Entire home/apt,2,1,1,1,100.0,4,10,True,0,0,4.69,True,50.0,400.0,0.05,0.16,0.15,4.99,0.0,500.05479452054794
223,1845443,0.86,False,Westerpark,52.38,4.87,Entire home/apt,2,1,1,5,122.0,25,365,True,2,0,4.95,False,61.0,3050.0,0.04,0.13,0.19,4.99,0.005479452054794521,609.2465753424658
224,1863996,0.0,False,Bos en Lommer,52.38,4.855,Entire home/apt,2,1,2,2,75.0,3,1125,True,0,0,4.37,False,37.5,225.0,0.05,0.12,0.15,4.99,0.0,375.0
225,1901877,0.76,True,Centrum-West,52.38,4.887,Private room,2,1,2,3,105.0,3,1125,True,5,4,4.89,False,52.5,315.0,0.09,0.12,0.14,4.99,0.6876712328767123,525.0
226,1912704,0.76,False,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,8,180.0,3,60,True,2,3,5.0,False,90.0,540.0,0.08,0.2,0.24,4.99,0.5013698630136987,830.0410958904109
227,1919184,0.75,False,De Baarsjes - Oud-West,52.38,4.863,Entire home/apt,3,2,2,12,299.0,2,10,True,10,0,4.54,False,99.7,598.0,0.08,0.29,0.2,4.99,0.9310344827586207,1386.2068965517242
228,1924485,0.76,False,De Pijp - Rivierenbuurt,52.34,4.89,Private room,4,1,4,1,95.0,3,1125,True,0,0,4.92,True,23.75,285.0,0.05,0.12,0.14,4.99,0.0,474.972602739726
229,1927634,0.81,False,Oostelijk Havengebied - Indische Buurt,52.38,4.934,Entire home/apt,4,2,3,14,482.0,8,30,True,0,0,4.69,True,120.5,3856.0,0.07,0.16,0.22,10.99,0.0,2368.904109589041
230,1928474,0.44,False,Noord-West,52.4,4.902,Entire home/apt,6,3,6,5,130.0,4,21,True,0,0,4.75,False,21.67,520.0,0.07,0.19,0.18,4.99,0.31232876712328766,822.3835616438356
231,1929777,0.8,False,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,4,2,2,8,230.0,3,1124,True,0,0,4.97,False,57.5,690.0,0.06,0.16,0.24,4.99,0.0,1150.0
232,1954182,0.2,False,De Baarsjes - Oud-West,52.38,4.87,Entire home/apt,2,1,1,5,150.0,14,365,True,0,0,4.9,False,75.0,2100.0,0.09,0.14,0.23,4.99,0.0,750.0
233,1954308,0.0,False,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,3,2,2,7,130.0,4,1125,True,0,0,4.71,False,43.34,520.0,0.06,0.11,0.13,4.99,0.0,650.0
234,1957337,0.0,False,Oud-Oost,52.34,4.918,Entire home/apt,4,2,3,8,275.0,3,14,True,0,0,5.0,False,68.75,825.0,0.09,0.19,0.18,4.99,0.06027397260273973,1375.0
235,1964479,0.56,False,Oud-Noord,52.38,4.918,Entire home/apt,4,2,2,13,350.0,3,1125,True,0,0,4.75,False,87.5,1050.0,0.09,0.08,0.26,4.99,0.28493150684931506,1750.0
